date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-12-22 15:00:00,3334.41,3335.63,3335.63,3332.22,7712410.0,1.22,0.04,3335.12,3330.84,3331.32,5323810.0,4528870.0,5701990.0
2016-12-22 14:45:00,3339.31,3340.04,3334.36,3334.36,5514220.0,-4.95,-0.15,3333.77,3330.25,3331.27,4604820.0,4151560.0,5685350.0
2016-12-22 14:30:00,3334.99,3339.39,3339.31,3332.52,4879690.0,4.32,0.13,3332.17,3329.8,3331.5,4160060.0,4118640.0,5785230.0
2016-12-22 14:15:00,3331.56,3336.99,3335.1,3331.56,4383980.0,3.54,0.11,3328.95,3328.52,3331.33,3909410.0,4263560.0,5786760.0
2016-12-22 14:00:00,3328.97,3331.21,3331.21,3328.01,4128750.0,2.24,0.07,3327.49,3328.4,3331.38,3858020.0,4628960.0,5906510.0
2016-12-22 13:45:00,3326.27,3330.43,3328.85,3325.88,4117450.0,2.58,0.08,3326.56,3328.31,3331.62,3733940.0,5342120.0,6045020.0
2016-12-22 13:30:00,3322.98,3327.22,3326.37,3322.75,3290420.0,3.39,0.1,3326.74,3329.32,3331.62,3698310.0,6105640.0,6247840.0
2016-12-22 13:15:00,3327.58,3328.27,3323.2,3323.12,3626460.0,-4.38,-0.13,3327.43,3330.55,3331.65,4077220.0,6539310.0,6348340.0
2016-12-22 11:30:00,3326.56,3327.85,3327.8,3324.43,4127040.0,1.24,0.04,3328.09,3331.37,3331.98,4617710.0,6635160.0,6484880.0
2016-12-22 11:15:00,3329.94,3331.04,3326.56,3326.56,3508310.0,-3.38,-0.1,3329.31,3331.49,3332.24,5399890.0,6673740.0,6732560.0
2016-12-22 11:00:00,3330.38,3331.75,3329.75,3328.74,3939320.0,-0.63,-0.02,3330.07,3331.8,3332.19,6950310.0,6875120.0,6872370.0
2016-12-22 10:45:00,3326.44,3330.93,3329.84,3324.64,5184980.0,3.4,0.1,3331.9,3332.3,3332.12,8512970.0,7219140.0,7088530.0
2016-12-22 10:30:00,3334.06,3334.06,3326.52,3326.52,6328890.0,-7.54,-0.23,3333.67,3333.19,3331.58,9001400.0,7451810.0,7260850.0
2016-12-22 10:15:00,3330.39,3334.51,3333.86,3326.27,8037960.0,3.47,0.1,3334.64,3334.15,3330.63,8652610.0,7309960.0,7347810.0
2016-12-22 10:00:00,3338.87,3339.81,3330.39,3328.8,11260400.0,-8.48,-0.25,3333.68,3334.36,3328.62,7947600.0,7184070.0,7213930.0
2016-12-22 09:45:00,3335.12,3339.2,3338.87,3332.42,11752600.0,3.75,0.11,3333.54,3334.92,3326.64,6799920.0,6747910.0,6862720.0
2016-12-21 15:00:00,3331.38,3338.7,3338.7,3331.38,7627130.0,7.32,0.22,3332.7,3333.92,3324.43,5925320.0,6390030.0,6548540.0
2016-12-21 14:45:00,3328.82,3331.84,3331.4,3328.5,4584940.0,2.58,0.08,3332.72,3332.75,3322.46,5902230.0,6157370.0,6419880.0
2016-12-21 14:30:00,3329.66,3330.01,3329.05,3326.5,4512910.0,-0.61,-0.02,3333.65,3332.6,3320.97,5967320.0,6334610.0,6382530.0
2016-12-21 14:15:00,3334.67,3334.67,3329.66,3329.66,5522030.0,-5.01,-0.15,3335.04,3332.99,3319.61,6420530.0,6791380.0,6334820.0
2016-12-21 14:00:00,3338.82,3342.4,3334.67,3334.67,7379590.0,-4.15,-0.12,3336.3,3332.57,3318.47,6695910.0,6869620.0,6207210.0
2016-12-21 13:45:00,3336.03,3342.27,3338.82,3336.03,7511670.0,2.79,0.08,3335.15,3331.95,3317.26,6854750.0,6957920.0,6032520.0
2016-12-21 13:30:00,3335.69,3336.8,3336.04,3335.12,4910410.0,0.35,0.01,3332.78,3329.96,3315.68,6412510.0,7069900.0,5821880.0
2016-12-21 13:15:00,3335.65,3339.28,3336.03,3335.59,6778960.0,0.38,0.01,3331.55,3327.12,3314.02,6701900.0,7385660.0,5873020.0
2016-12-21 11:30:00,3328.99,3335.93,3335.93,3328.81,6898900.0,6.94,0.21,3330.93,3322.87,3312.48,7162230.0,7243800.0,5827950.0
2016-12-21 11:15:00,3326.71,3333.09,3328.94,3326.55,8173800.0,2.23,0.07,3328.85,3318.37,3311.35,7043330.0,6977530.0,5732170.0
2016-12-21 11:00:00,3329.89,3330.7,3326.95,3325.8,5300480.0,-2.94,-0.09,3328.74,3314.94,3310.6,7061100.0,6707040.0,5654410.0
2016-12-21 10:45:00,3333.53,3334.56,3329.89,3329.08,6357340.0,-3.64,-0.11,3327.14,3312.16,3309.82,7727280.0,6682400.0,5842870.0
2016-12-21 10:30:00,3326.36,3333.48,3332.92,3324.65,9080630.0,6.56,0.2,3322.68,3309.35,3309.57,8069420.0,6430450.0,5970100.0
2016-12-21 10:15:00,3328.64,3328.79,3325.53,3325.14,6304410.0,-3.11,-0.09,3314.82,3306.23,3309.38,7325370.0,5878260.0,5867690.0
2016-12-21 10:00:00,3319.86,3329.44,3328.43,3319.86,8262620.0,8.57,0.26,3307.89,3304.37,3309.43,6911740.0,5544810.0,5801890.0
2016-12-21 09:45:00,3313.75,3319.45,3318.95,3313.75,8631400.0,5.2,0.16,3301.14,3302.56,3309.59,6352980.0,5107120.0,5632900.0
2016-12-20 15:00:00,3293.69,3308.85,3307.59,3293.41,8068020.0,13.9,0.42,3297.18,3301.39,3310.14,5637520.0,4573870.0,5418180.0
2016-12-20 14:45:00,3290.7,3296.29,3293.61,3289.27,5360410.0,2.91,0.09,3296.01,3300.93,3311.37,4791480.0,4360370.0,5219580.0
2016-12-20 14:30:00,3295.16,3297.51,3290.86,3290.6,4236230.0,-4.3,-0.13,3297.64,3302.09,3313.45,4431150.0,4412100.0,5124130.0
2016-12-20 14:15:00,3299.17,3299.51,3294.71,3292.68,5468830.0,-4.46,-0.14,3300.85,3304.33,3315.8,4177880.0,4486800.0,5062160.0
2016-12-20 14:00:00,3301.37,3301.84,3299.13,3295.93,5054110.0,-2.24,-0.07,3303.98,3306.26,3317.96,3861260.0,4601770.0,4920820.0
2016-12-20 13:45:00,3301.54,3304.51,3301.75,3300.05,3837810.0,0.21,0.01,3305.61,3307.49,3319.97,3510220.0,5003350.0,4805860.0
