type	day	reg	stay
weibo	day1	2504	752
weibo	day2	2718	701
weibo	day3	2538	692
weibo	day4	2207	540
weibo	day5	2004	464
weibo	day6	1899	458
weibo	day7	1243	294
weichat	day1	2983	925
weichat	day2	3219	864
weichat	day3	3067	863
weichat	day4	2715	686
weichat	day5	2442	607
weichat	day6	2295	584
weichat	day7	1523	370
webad	day1	2102	675
webad	day2	2198	584
webad	day3	1908	542
webad	day4	1643	422
webad	day5	1454	372
webad	day6	1382	370
webad	day7	883	208
